Agency,Component,Fiscal Year,Number of Backlogged Requests as of End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2021,0,0.0
Department of Defense,Agency Overall,2021,17597,891.0
Tennessee Valley Authority,Agency Overall,2021,11,0.0
Export-Import Bank of the U.S.,Agency Overall,2021,25,0.0
Department of Homeland Security,Agency Overall,2021,25102,436.0
Defense Nuclear Facilities Safety Board,Agency Overall,2021,1,0.0
Department of Veterans Affairs,Agency Overall,2022,824,202.0
Central Intelligence Agency,Agency Overall,2022,3005,381.0
Commission of Fine Arts,Agency Overall,2022,0,0.0
National Science Foundation,Agency Overall,2022,483,0.0
Department of Justice,Agency Overall,2022,64982,321.0
Federal Maritime Commission,Agency Overall,2022,8,0.0
Advisory Council on Historic Preservation,Agency Overall,2022,1,0.0
General Services Administration,Agency Overall,2022,249,2.0
Occupational Safety and Health Review Commission,Agency Overall,2022,0,0.0
Federal Retirement Thrift Investment Board,Agency Overall,2022,3,0.0
Office of Science and Technology Policy,Agency Overall,2022,157,0.0
United States Trade and Development Agency,Agency Overall,2022,49,0.0
National Aeronautics and Space Administration,Agency Overall,2022,38,6.0
Court Services and Offender Supervision Agency,Agency Overall,2022,0,0.0
Federal Mediation and Conciliation Service,Agency Overall,2022,0,0.0
Marine Mammal Commission,Agency Overall,2022,5,0.0
Appraisal Subcommittee,Agency Overall,2022,0,0.0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2022,0,0.0
Office of Management and Budget,Agency Overall,2022,589,3.0
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2022,0,0.0
Chemical Safety and Hazard Investigation Board,Agency Overall,2022,70,0.0
Federal Housing Finance Agency,Agency Overall,2022,35,0.0
United States Postal Service,Agency Overall,2022,85,1.0
Department of the Interior,Agency Overall,2022,4808,314.0
Tennessee Valley Authority,Agency Overall,2022,17,0.0
Harry S. Truman Scholarship Foundation,Agency Overall,2022,0,0.0
Millennium Challenge Corporation,Agency Overall,2022,0,0.0
Privacy and Civil Liberties Oversight Board,Agency Overall,2022,13,0.0
Presidio Trust,Agency Overall,2022,0,0.0
Export-Import Bank of the U.S.,Agency Overall,2022,14,2.0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2022,30,0.0
U.S. Department of State,Agency Overall,2022,18765,387.0
Farm Credit Administration,Agency Overall,2022,0,0.0
U.S. Commission on Civil Rights,Agency Overall,2022,0,0.0
Social Security Administration,Agency Overall,2022,92,37.0
National Indian Gaming Commission,Agency Overall,2022,3,0.0
United States African Development Foundation,Agency Overall,2022,0,0.0
National Credit Union Administration,Agency Overall,2022,0,0.0
AmeriCorps,Agency Overall,2022,4,0.0
U.S. Election Assistance Commission,Agency Overall,2022,2,0.0
Federal Deposit Insurance Corporation,Agency Overall,2022,8,0.0
Office of National Drug Control Policy,Agency Overall,2022,8,0.0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2022,0,0.0
Council on Environmental Quality,Agency Overall,2022,43,0.0
Merit Systems Protection Board,Agency Overall,2022,62,2.0
Office of Special Counsel,Agency Overall,2022,1,0.0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2022,0,0.0
Peace Corps,Agency Overall,2022,94,0.0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2022,21,1.0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2022,0,0.0
Federal Trade Commission,Agency Overall,2022,23,0.0
Department of Labor,Agency Overall,2022,1426,286.0
Federal Communications Commission,Agency Overall,2022,33,10.0
James Madison Memorial Fellowship Foundation,Agency Overall,2022,0,0.0
Nuclear Regulatory Commission,Agency Overall,2022,89,1.0
U.S. Interagency Council on Homelessness,Agency Overall,2022,0,0.0
United States International Trade Commission,Agency Overall,2022,14,0.0
Institute of Museum and Library Services,Agency Overall,2022,0,0.0
National Labor Relations Board,Agency Overall,2022,18,0.0
Denali Commission,Agency Overall,2022,0,0.0
Federal Reserve System,Agency Overall,2022,15,3.0
Inter-American Foundation,Agency Overall,2022,0,0.0
Neighborhood Reinvestment Corporation,Agency Overall,2022,0,0.0
National Transportation Safety Board,Agency Overall,2022,166,0.0
Federal Financial Institutions Examination Council,Agency Overall,2022,0,0.0
National Archives and Records Administration,Agency Overall,2022,9969,155.0
Selective Service System,Agency Overall,2022,0,0.0
United States Copyright Office,Agency Overall,2022,4,0.0
Department of Transportation,Agency Overall,2022,5362,222.0
Office of the Director of National Intelligence,Agency Overall,2022,551,22.0
Social Security Advisory Board,Agency Overall,2022,0,0.0
National Capital Planning Commission,Agency Overall,2022,0,0.0
Pension Benefit Guaranty Corporation,Agency Overall,2022,0,0.0
Department of Agriculture,Agency Overall,2022,1991,143.0
Farm Credit System Insurance Corporation,Agency Overall,2022,0,0.0
Department of Housing and Urban Development,Agency Overall,2022,626,8.0
Department of Energy,Agency Overall,2022,774,12.0
Department of Health and Human Services,Agency Overall,2022,11320,581.0
Office of Personnel Management,Agency Overall,2022,128,2.0
Defense Nuclear Facilities Safety Board,Agency Overall,2022,2,0.0
National Council on Disability,Agency Overall,2022,0,0.0
Small Business Administration,Agency Overall,2022,469,21.0
Armed Forces Retirement Home,Agency Overall,2022,1,0.0
Office of the United States Trade Representative,Agency Overall,2022,1,0.0
Consumer Product Safety Commission,Agency Overall,2022,441,0.0
Department of Defense,Agency Overall,2022,18567,862.0
Federal Election Commission,Agency Overall,2022,4,0.0
Equal Employment Opportunity Commission,Agency Overall,2022,53,29.0
Federal Open Market Committee,Agency Overall,2022,0,0.0
Environmental Protection Agency,Agency Overall,2022,1537,0.0
U.S. Railroad Retirement Board,Agency Overall,2022,2,0.0
Administrative Conference of the United States,Agency Overall,2022,0,0.0
Commodity Futures Trading Commission,Agency Overall,2022,3,0.0
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2022,0,0.0
Postal Regulatory Commission,Agency Overall,2022,0,0.0
United States Access Board,Agency Overall,2022,0,0.0
Department of Education,Agency Overall,2022,1557,34.0
Federal Permitting Improvement Steering Council,Agency Overall,2022,1,0.0
National Mediation Board,Agency Overall,2022,0,0.0
U.S. International Development Finance Corporation,Agency Overall,2022,54,0.0
United States Institute of Peace,Agency Overall,2022,2,0.0
Securities and Exchange Commission,Agency Overall,2022,485,0.0
American Battle Monuments Commission,Agency Overall,2022,0,0.0
United States International Boundary and Water Commission,Agency Overall,2022,37,0.0
National Endowment for the Humanities,Agency Overall,2022,2,0.0
Federal Energy Regulatory Commission,Agency Overall,2022,42,0.0
Legal Services Corporation,Agency Overall,2022,0,0.0
Consumer Financial Protection Bureau,Agency Overall,2022,48,0.0
Department of Commerce,Agency Overall,2022,906,180.0
U.S. Agency for International Development,Agency Overall,2022,408,10.0
Surface Transportation Board,Agency Overall,2022,0,0.0
Department of the Treasury,Agency Overall,2022,2381,47.0
National Endowment for the Arts,Agency Overall,2022,0,0.0
Department of Homeland Security,Agency Overall,2022,52239,408.0
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2022,0,0.0
Office of Government Ethics,Agency Overall,2022,5,0.0
Federal Mine Safety and Health Review Commission,Agency Overall,2022,1,0.0
National Railroad Passenger Corporation,Agency Overall,2022,277,13.0
Federal Labor Relations Authority,Agency Overall,2022,34,0.0
Federal Reserve System,Agency Overall,2023,36,3.0
Federal Mediation and Conciliation Service,Agency Overall,2023,0,0.0
Commodity Futures Trading Commission,Agency Overall,2023,4,0.0
Consumer Product Safety Commission,Agency Overall,2023,197,0.0
Administrative Conference of the United States,Agency Overall,2023,0,0.0
Farm Credit Administration,Agency Overall,2023,0,0.0
Nuclear Regulatory Commission,Agency Overall,2023,96,2.0
National Transportation Safety Board,Agency Overall,2023,97,0.0
Department of Veterans Affairs,Agency Overall,2023,780,325.0
Department of Homeland Security,Agency Overall,2023,63883,502.0
Office of Management and Budget,Agency Overall,2023,526,1.0
Social Security Administration,Agency Overall,2023,251,47.0
U.S. Election Assistance Commission,Agency Overall,2023,166,0.0
Office of Personnel Management,Agency Overall,2023,98,7.0
National Indian Gaming Commission,Agency Overall,2023,5,0.0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2023,11,0.0
Peace Corps,Agency Overall,2023,63,0.0
Court Services and Offender Supervision Agency,Agency Overall,2023,0,0.0
Office of National Drug Control Policy,Agency Overall,2023,5,0.0
Department of Energy,Agency Overall,2023,871,12.0
National Endowment for the Humanities,Agency Overall,2023,7,0.0
National Railroad Passenger Corporation,Agency Overall,2023,159,20.0
Occupational Safety and Health Review Commission,Agency Overall,2023,1,0.0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2023,3,0.0
Institute of Museum and Library Services,Agency Overall,2023,0,0.0
National Science Foundation,Agency Overall,2023,644,0.0
Department of Commerce,Agency Overall,2023,1083,235.0
Department of Defense,Agency Overall,2023,19882,736.0
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2023,1,0.0
Department of the Interior,Agency Overall,2023,4320,217.0
National Archives and Records Administration,Agency Overall,2023,6410,224.0
Department of Labor,Agency Overall,2023,1468,286.0
U.S. Interagency Council on Homelessness,Agency Overall,2023,0,0.0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2023,1,0.0
Office of Science and Technology Policy,Agency Overall,2023,172,0.0
Advisory Council on Historic Preservation,Agency Overall,2023,15,0.0
U.S. International Development Finance Corporation,Agency Overall,2023,66,0.0
Office of Special Counsel,Agency Overall,2023,20,1.0
Federal Open Market Committee,Agency Overall,2023,0,0.0
Department of Agriculture,Agency Overall,2023,1972,148.0
Environmental Protection Agency,Agency Overall,2023,1318,0.0
Millennium Challenge Corporation,Agency Overall,2023,8,0.0
Appraisal Subcommittee,Agency Overall,2023,0,0.0
Federal Maritime Commission,Agency Overall,2023,7,0.0
Farm Credit System Insurance Corporation,Agency Overall,2023,0,0.0
General Services Administration,Agency Overall,2023,396,7.0
Federal Financial Institutions Examination Council,Agency Overall,2023,1,0.0
Defense Nuclear Facilities Safety Board,Agency Overall,2023,2,0.0
Neighborhood Reinvestment Corporation,Agency Overall,2023,7,0.0
Inter-American Foundation,Agency Overall,2023,2,0.0
Export-Import Bank of the U.S.,Agency Overall,2023,22,0.0
Office of the United States Trade Representative,Agency Overall,2023,6,0.0
Central Intelligence Agency,Agency Overall,2023,3844,345.0
U.S. Department of State,Agency Overall,2023,21619,272.0
Federal Election Commission,Agency Overall,2023,1,0.0
United States Trade and Development Agency,Agency Overall,2023,14,0.0
Merit Systems Protection Board,Agency Overall,2023,96,2.0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2023,3,0.0
Federal Retirement Thrift Investment Board,Agency Overall,2023,26,0.0
Legal Services Corporation,Agency Overall,2023,1,0.0
AmeriCorps,Agency Overall,2023,8,0.0
United States Postal Service,Agency Overall,2023,136,0.0
Chemical Safety and Hazard Investigation Board,Agency Overall,2023,70,0.0
Privacy and Civil Liberties Oversight Board,Agency Overall,2023,9,0.0
National Credit Union Administration,Agency Overall,2023,0,0.0
National Council on Disability,Agency Overall,2023,2,0.0
Council on Environmental Quality,Agency Overall,2023,27,0.0
Federal Permitting Improvement Steering Council,Agency Overall,2023,0,0.0
Surface Transportation Board,Agency Overall,2023,0,0.0
Social Security Advisory Board,Agency Overall,2023,2,0.0
Selective Service System,Agency Overall,2023,0,0.0
American Battle Monuments Commission,Agency Overall,2023,0,0.0
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2023,1,0.0
United States Institute of Peace,Agency Overall,2023,7,0.0
United States International Boundary and Water Commission,Agency Overall,2023,54,0.0
United States Copyright Office,Agency Overall,2023,6,0.0
U.S. Railroad Retirement Board,Agency Overall,2023,0,0.0
National Labor Relations Board,Agency Overall,2023,6,0.0
National Capital Planning Commission,Agency Overall,2023,0,0.0
U.S. Commission on Civil Rights,Agency Overall,2023,0,0.0
Federal Deposit Insurance Corporation,Agency Overall,2023,123,0.0
United States International Trade Commission,Agency Overall,2023,17,0.0
Equal Employment Opportunity Commission,Agency Overall,2023,506,9.0
Department of Transportation,Agency Overall,2023,5913,229.0
Department of Justice,Agency Overall,2023,43927,240.0
National Aeronautics and Space Administration,Agency Overall,2023,32,7.0
United States African Development Foundation,Agency Overall,2023,0,0.0
Denali Commission,Agency Overall,2023,0,0.0
Pension Benefit Guaranty Corporation,Agency Overall,2023,0,0.0
Postal Regulatory Commission,Agency Overall,2023,7,0.0
National Mediation Board,Agency Overall,2023,0,0.0
U.S. Agency for International Development,Agency Overall,2023,401,11.0
Department of Health and Human Services,Agency Overall,2023,11256,640.0
Harry S. Truman Scholarship Foundation,Agency Overall,2023,0,0.0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2023,0,0.0
Federal Mine Safety and Health Review Commission,Agency Overall,2023,3,0.0
Department of Education,Agency Overall,2023,1978,35.0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2023,40,3.0
Department of Housing and Urban Development,Agency Overall,2023,555,0.0
Tennessee Valley Authority,Agency Overall,2023,35,1.0
Department of the Treasury,Agency Overall,2023,2468,42.0
Marine Mammal Commission,Agency Overall,2023,4,0.0
Securities and Exchange Commission,Agency Overall,2023,819,2.0
Federal Trade Commission,Agency Overall,2023,37,0.0
Consumer Financial Protection Bureau,Agency Overall,2023,37,0.0
James Madison Memorial Fellowship Foundation,Agency Overall,2023,5,0.0
Office of the National Cyber Director,Agency Overall,2023,0,0.0
Armed Forces Retirement Home,Agency Overall,2023,1,0.0
United States Access Board,Agency Overall,2023,1,0.0
National Endowment for the Arts,Agency Overall,2023,0,0.0
Commission of Fine Arts,Agency Overall,2023,0,0.0
Office of the Director of National Intelligence,Agency Overall,2023,658,19.0
Federal Communications Commission,Agency Overall,2023,35,12.0
Federal Energy Regulatory Commission,Agency Overall,2023,94,0.0
Federal Labor Relations Authority,Agency Overall,2023,35,0.0
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2023,0,0.0
Small Business Administration,Agency Overall,2023,784,3.0
U.S. Agency for Global Media,Agency Overall,2023,7,1.0
Presidio Trust,Agency Overall,2023,0,0.0
Federal Housing Finance Agency,Agency Overall,2023,51,0.0
Office of Government Ethics,Agency Overall,2023,0,0.0
AmeriCorps,Agency Overall,2024,30,0.0
Department of Justice,Agency Overall,2024,21567,211.0
American Battle Monuments Commission,Agency Overall,2024,0,0.0
Federal Energy Regulatory Commission,Agency Overall,2024,72,1.0
Office of Special Counsel,Agency Overall,2024,60,0.0
Commission of Fine Arts,Agency Overall,2024,0,0.0
United States Copyright Office,Agency Overall,2024,7,0.0
Office of Science and Technology Policy,Agency Overall,2024,196,0.0
Federal Open Market Committee,Agency Overall,2024,31,0.0
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2024,84,0.0
U.S. Commission on Civil Rights,Agency Overall,2024,64,0.0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2024,146,3.0
Office of the National Cyber Director,Agency Overall,2024,223,0.0
Department of Health and Human Services,Agency Overall,2024,12685,730.0
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2024,0,0.0
Surface Transportation Board,Agency Overall,2024,0,0.0
Department of Energy,Agency Overall,2024,1629,10.0
Consumer Financial Protection Bureau,Agency Overall,2024,142,0.0
Federal Labor Relations Authority,Agency Overall,2024,0,0.0
U.S. Election Assistance Commission,Agency Overall,2024,243,0.0
Federal Communications Commission,Agency Overall,2024,49,13.0
Federal Deposit Insurance Corporation,Agency Overall,2024,252,0.0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2024,0,0.0
National Credit Union Administration,Agency Overall,2024,1,0.0
National Science Foundation,Agency Overall,2024,784,3.0
Millennium Challenge Corporation,Agency Overall,2024,1,0.0
Office of National Drug Control Policy,Agency Overall,2024,47,0.0
U.S. Interagency Council on Homelessness,Agency Overall,2024,26,0.0
Office of Pandemic Preparedness and Response Policy,Agency Overall,2024,0,0.0
United States Trade and Development Agency,Agency Overall,2024,15,0.0
Selective Service System,Agency Overall,2024,0,0.0
Court Services and Offender Supervision Agency,Agency Overall,2024,0,0.0
Nuclear Regulatory Commission,Agency Overall,2024,97,4.0
Federal Reserve System,Agency Overall,2024,47,7.0
National Labor Relations Board,Agency Overall,2024,26,0.0
U.S. Agency for International Development,Agency Overall,2024,590,12.0
Department of Transportation,Agency Overall,2024,8048,226.0
Social Security Advisory Board,Agency Overall,2024,0,0.0
Institute of Museum and Library Services,Agency Overall,2024,0,0.0
Federal Maritime Commission,Agency Overall,2024,28,0.0
Harry S. Truman Scholarship Foundation,Agency Overall,2024,31,0.0
Neighborhood Reinvestment Corporation,Agency Overall,2024,12,0.0
Department of Defense,Agency Overall,2024,21436,607.0
Federal Mediation and Conciliation Service,Agency Overall,2024,1,0.0
Advisory Council on Historic Preservation,Agency Overall,2024,120,0.0
Federal Financial Institutions Examination Council,Agency Overall,2024,3,0.0
Securities and Exchange Commission,Agency Overall,2024,475,0.0
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2024,0,0.0
Equal Employment Opportunity Commission,Agency Overall,2024,49,0.0
Administrative Conference of the United States,Agency Overall,2024,0,0.0
Appraisal Subcommittee,Agency Overall,2024,0,0.0
Office of the Director of National Intelligence,Agency Overall,2024,747,13.0
Federal Trade Commission,Agency Overall,2024,38,0.0
Department of Commerce,Agency Overall,2024,1410,252.0
Department of Housing and Urban Development,Agency Overall,2024,721,0.0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2024,0,0.0
Pension Benefit Guaranty Corporation,Agency Overall,2024,0,0.0
United States Access Board,Agency Overall,2024,0,0.0
Department of the Treasury,Agency Overall,2024,2791,47.0
Department of Homeland Security,Agency Overall,2024,141420,1508.0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2024,18,0.0
United States International Trade Commission,Agency Overall,2024,102,0.0
Environmental Protection Agency,Agency Overall,2024,1564,0.0
Marine Mammal Commission,Agency Overall,2024,6,0.0
Department of Labor,Agency Overall,2024,2094,286.0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2024,41,0.0
United States Postal Service,Agency Overall,2024,201,0.0
Occupational Safety and Health Review Commission,Agency Overall,2024,13,0.0
Tennessee Valley Authority,Agency Overall,2024,34,0.0
Farm Credit Administration,Agency Overall,2024,3,0.0
National Railroad Passenger Corporation,Agency Overall,2024,4,8.0
Office of Personnel Management,Agency Overall,2024,212,10.0
National Endowment for the Humanities,Agency Overall,2024,8,1.0
Legal Services Corporation,Agency Overall,2024,17,0.0
Inter-American Foundation,Agency Overall,2024,9,0.0
Federal Election Commission,Agency Overall,2024,6,0.0
Denali Commission,Agency Overall,2024,0,0.0
James Madison Memorial Fellowship Foundation,Agency Overall,2024,44,0.0
Consumer Product Safety Commission,Agency Overall,2024,251,1.0
Presidio Trust,Agency Overall,2024,0,0.0
Postal Regulatory Commission,Agency Overall,2024,7,0.0
U.S. Department of State,Agency Overall,2024,21615,126.0
Federal Housing Finance Agency,Agency Overall,2024,98,0.0
Small Business Administration,Agency Overall,2024,413,0.0
Federal Mine Safety and Health Review Commission,Agency Overall,2024,8,0.0
Office of Government Ethics,Agency Overall,2024,27,0.0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2024,12,0.0
National Transportation Safety Board,Agency Overall,2024,226,0.0
Department of Veterans Affairs,Agency Overall,2024,1539,352.0
United States Institute of Peace,Agency Overall,2024,67,0.0
National Mediation Board,Agency Overall,2024,0,0.0
Chemical Safety and Hazard Investigation Board,Agency Overall,2024,127,0.0
National Archives and Records Administration,Agency Overall,2024,5107,254.0
Department of Education,Agency Overall,2024,2485,21.0
National Endowment for the Arts,Agency Overall,2024,0,0.0
National Council on Disability,Agency Overall,2024,25,0.0
National Aeronautics and Space Administration,Agency Overall,2024,39,8.0
Export-Import Bank of the U.S.,Agency Overall,2024,37,5.0
Privacy and Civil Liberties Oversight Board,Agency Overall,2024,89,0.0
Defense Nuclear Facilities Safety Board,Agency Overall,2024,54,0.0
Farm Credit System Insurance Corporation,Agency Overall,2024,1,0.0
United States International Boundary and Water Commission,Agency Overall,2024,110,0.0
Office of Management and Budget,Agency Overall,2024,909,4.0
National Capital Planning Commission,Agency Overall,2024,0,0.0
Central Intelligence Agency,Agency Overall,2024,4879,246.0
Merit Systems Protection Board,Agency Overall,2024,127,0.0
Council on Environmental Quality,Agency Overall,2024,83,6.0
Commodity Futures Trading Commission,Agency Overall,2024,11,0.0
National Indian Gaming Commission,Agency Overall,2024,4,0.0
United States African Development Foundation,Agency Overall,2024,31,0.0
Office of the United States Trade Representative,Agency Overall,2024,32,0.0
Social Security Administration,Agency Overall,2024,608,60.0
Armed Forces Retirement Home,Agency Overall,2024,0,0.0
General Services Administration,Agency Overall,2024,354,5.0
Department of the Interior,Agency Overall,2024,4412,193.0
Peace Corps,Agency Overall,2024,35,0.0
Department of Agriculture,Agency Overall,2024,2270,148.0
U.S. Agency for Global Media,Agency Overall,2024,1,0.0
Federal Permitting Improvement Steering Council,Agency Overall,2024,0,0.0
U.S. Railroad Retirement Board,Agency Overall,2024,8,1.0
Federal Retirement Thrift Investment Board,Agency Overall,2024,33,0.0
U.S. International Development Finance Corporation,Agency Overall,2024,102,0.0
