Agency,Component,Fiscal Year,<1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,401+ Days,Total
Denali Commission,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Indian Gaming Commission,Agency Overall,2020,0,2,2,0,1,0,0,0,0,0,0,0,1,6
National Railroad Passenger Corporation,Agency Overall,2020,74,13,17,10,8,6,5,6,3,5,20,13,46,226
National Archives and Records Administration,Agency Overall,2020,102,20,5,6,3,1,4,7,7,2,15,13,275,460
Department of Education,Agency Overall,2020,60,165,110,85,56,38,39,24,26,18,101,90,191,1003
Office of Navajo and Hopi Indian Relocation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neighborhood Reinvestment Corporation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,3,3
National Capital Planning Commission,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Labor Relations Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of the Treasury,Agency Overall,2020,4256,1006,546,296,186,124,95,55,41,22,103,33,135,6898
U.S. Railroad Retirement Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commission of Fine Arts,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Commission on Civil Rights,Agency Overall,2020,2,0,0,0,1,0,0,0,2,0,2,0,0,7
United States Access Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the United States Trade Representative,Agency Overall,2020,2,2,2,1,4,2,5,2,1,0,2,0,0,23
Occupational Safety and Health Review Commission,Agency Overall,2020,1,4,0,0,0,0,0,0,0,0,0,0,0,5
Chemical Safety and Hazard Investigation Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the Director of National Intelligence,Agency Overall,2020,87,10,11,3,12,5,0,3,0,3,5,8,35,182
Federal Communications Commission,Agency Overall,2020,7,56,31,19,7,5,0,2,2,1,2,0,0,132
AmeriCorps,Agency Overall,2020,2,4,1,0,1,1,0,1,0,0,0,0,0,10
Department of Commerce,Agency Overall,2020,193,107,47,19,26,23,8,13,6,23,41,26,87,619
Office of National Drug Control Policy,Agency Overall,2020,0,2,1,0,1,0,3,0,0,2,2,0,2,13
National Credit Union Administration,Agency Overall,2020,26,68,7,1,0,1,0,0,0,0,0,0,0,103
United States Copyright Office,Agency Overall,2020,0,0,0,0,0,0,0,1,1,0,0,1,2,5
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2020,13,8,1,0,2,2,0,0,1,0,5,3,21,56
Federal Mine Safety and Health Review Commission,Agency Overall,2020,4,0,1,0,0,0,0,0,0,0,0,0,0,5
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2020,0,0,0,0,0,1,1,0,0,0,0,0,0,2
United States Trade and Development Agency,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1
U.S. International Development Finance Corporation,Agency Overall,2020,0,1,0,2,0,0,0,1,1,0,0,0,0,5
United States Postal Service,Agency Overall,2020,92,72,11,5,5,6,3,3,1,0,1,2,1,202
Small Business Administration,Agency Overall,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Appraisal Subcommittee,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface Transportation Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Security Administration,Agency Overall,2020,119,102,76,47,36,21,17,10,12,4,12,3,0,459
Marine Mammal Commission,Agency Overall,2020,0,1,0,0,0,0,1,0,0,0,0,0,0,2
Gulf Coast Ecosystem Restoration Council,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Mediation Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Transportation Safety Board,Agency Overall,2020,101,44,23,10,7,7,7,5,13,14,40,26,368,665
Office of Government Ethics,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Management and Budget,Agency Overall,2020,0,0,0,1,0,5,3,1,1,1,10,30,209,261
Farm Credit Administration,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Science Foundation,Agency Overall,2020,32,19,23,6,9,4,6,7,4,7,12,1,20,150
Merit Systems Protection Board,Agency Overall,2020,8,3,1,1,4,0,0,1,0,0,2,0,9,29
United States Institute of Peace,Agency Overall,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Social Security Advisory Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Council on Environmental Quality,Agency Overall,2020,1,1,0,0,1,2,0,0,0,0,2,1,6,14
Administrative Conference of the United States,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Science and Technology Policy,Agency Overall,2020,4,1,1,2,0,0,0,1,0,0,0,2,6,17
U.S. Election Assistance Commission,Agency Overall,2020,1,0,0,0,0,1,2,0,0,0,2,0,0,6
Millennium Challenge Corporation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Battle Monuments Commission,Agency Overall,2020,3,1,1,0,1,0,0,0,0,0,0,0,0,6
Federal Election Commission,Agency Overall,2020,15,8,2,6,2,1,3,2,1,0,3,7,13,63
Department of Health and Human Services,Agency Overall,2020,11042,2033,924,712,465,418,364,387,376,360,1831,462,1479,20853
Central Intelligence Agency,Agency Overall,2020,6,114,71,92,88,119,54,91,40,27,169,70,308,1249
Selective Service System,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defense Nuclear Facilities Safety Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Interagency Council on Homelessness,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Trade Commission,Agency Overall,2020,255,61,24,19,8,5,1,3,3,1,2,2,1,385
United States African Development Foundation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Energy,Agency Overall,2020,106,59,39,39,25,28,19,19,20,18,46,19,50,487
Department of Housing and Urban Development,Agency Overall,2020,80,54,14,10,6,3,4,1,4,9,13,18,73,289
U.S. Agency for International Development,Agency Overall,2020,87,28,12,10,17,16,9,10,3,6,24,10,50,282
Department of Veterans Affairs,Agency Overall,2020,214,843,347,198,135,90,71,83,46,95,353,100,244,2819
U.S. Department of State,Agency Overall,2020,41,48,134,627,426,1648,684,388,281,72,142,107,236,4834
Court Services and Offender Supervision Agency,Agency Overall,2020,162,0,0,0,0,0,0,0,0,0,0,0,0,162
Institute of Museum and Library Services,Agency Overall,2020,0,1,0,1,0,0,1,0,0,0,0,0,3,6
National Endowment for the Arts,Agency Overall,2020,0,2,1,0,0,0,0,0,0,0,0,0,0,3
Equal Employment Opportunity Commission,Agency Overall,2020,574,120,66,55,52,25,5,2,0,1,1,2,0,903
Export-Import Bank of the U.S.,Agency Overall,2020,6,4,3,5,0,1,0,0,1,0,7,3,12,42
Office of Personnel Management,Agency Overall,2020,125,72,30,17,8,5,5,6,4,6,13,11,38,340
Department of Labor,Agency Overall,2020,6276,2029,709,382,240,157,124,89,95,58,144,66,270,10639
Federal Mediation and Conciliation Service,Agency Overall,2020,22,1,0,0,0,0,0,0,0,0,0,0,0,23
Federal Deposit Insurance Corporation,Agency Overall,2020,44,20,3,0,1,0,1,0,0,0,0,0,0,69
National Aeronautics and Space Administration,Agency Overall,2020,142,99,41,27,14,6,3,3,0,1,0,1,0,337
Advisory Council on Historic Preservation,Agency Overall,2020,4,1,0,0,0,0,0,0,1,0,0,0,1,7
Postal Regulatory Commission,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Madison Memorial Fellowship Foundation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peace Corps,Agency Overall,2020,16,3,2,0,0,0,1,0,0,1,0,1,2,26
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2020,13,9,0,0,0,0,0,0,0,0,0,0,0,22
Harry S. Truman Scholarship Foundation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Defense,Agency Overall,2020,8355,4574,1944,1254,777,570,511,311,329,247,695,583,1035,21185
Environmental Protection Agency,Agency Overall,2020,317,267,137,106,89,56,34,31,30,12,65,46,338,1528
Federal Housing Finance Agency,Agency Overall,2020,8,2,4,1,1,2,5,2,1,0,2,1,2,31
National Council on Disability,Agency Overall,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Privacy and Civil Liberties Oversight Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Agency for Global Media,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farm Credit System Insurance Corporation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Endowment for the Humanities,Agency Overall,2020,0,4,2,1,0,0,1,0,0,0,0,0,0,8
National Council on Disability,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Copyright Office,Agency Overall,2021,1,0,0,0,0,0,1,0,0,0,0,0,1,3
Federal Financial Institutions Examination Council,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,1
National Credit Union Administration,Agency Overall,2021,34,84,2,0,0,1,0,1,0,0,0,0,0,122
Pension Benefit Guaranty Corporation,Agency Overall,2021,1047,261,60,22,16,8,3,2,5,1,3,0,0,1428
Commission of Fine Arts,Agency Overall,2021,0,1,1,1,0,0,0,0,0,0,0,0,0,3
United States African Development Foundation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumer Product Safety Commission,Agency Overall,2021,145,52,25,24,10,2,7,7,2,10,17,12,46,359
Council on Environmental Quality,Agency Overall,2021,0,0,0,0,0,1,1,3,1,0,2,0,10,18
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2021,14,2,1,1,1,0,1,0,1,0,0,2,20,43
Harry S. Truman Scholarship Foundation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmeriCorps,Agency Overall,2021,3,5,0,0,0,0,0,1,1,0,4,0,0,14
Advisory Council on Historic Preservation,Agency Overall,2021,0,0,1,0,2,0,1,0,0,0,1,0,0,5
Federal Mediation and Conciliation Service,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Agency for Global Media,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the United States Trade Representative,Agency Overall,2021,0,2,6,5,1,0,0,0,0,0,1,0,0,15
Social Security Advisory Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Endowment for the Humanities,Agency Overall,2021,0,11,1,4,0,0,1,1,0,0,0,0,0,18
Marine Mammal Commission,Agency Overall,2021,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Administrative Conference of the United States,Agency Overall,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Legal Services Corporation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface Transportation Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of the Interior,Agency Overall,2021,338,149,112,79,55,41,35,30,26,32,120,110,407,1534
Office of Special Counsel,Agency Overall,2021,15,4,8,13,7,7,3,6,2,2,6,2,0,75
Office of Science and Technology Policy,Agency Overall,2021,19,2,5,1,0,1,0,0,1,1,1,0,1,32
Federal Energy Regulatory Commission,Agency Overall,2021,8,9,2,1,1,0,0,0,0,0,1,3,6,31
Armed Forces Retirement Home,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Agency for International Development,Agency Overall,2021,44,26,10,11,9,8,12,12,4,5,22,10,60,233
Department of Education,Agency Overall,2021,40,186,120,74,49,23,19,17,13,13,91,61,296,1002
Department of Health and Human Services,Agency Overall,2021,8522,2991,1374,663,504,385,377,389,354,309,1044,356,1783,19051
Department of Housing and Urban Development,Agency Overall,2021,104,43,22,12,14,16,7,12,5,9,37,42,259,582
Federal Mine Safety and Health Review Commission,Agency Overall,2021,2,2,2,0,0,0,0,1,0,0,0,0,0,7
U.S. Interagency Council on Homelessness,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States International Boundary and Water Commission,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Commission on Civil Rights,Agency Overall,2021,0,3,2,3,2,1,0,0,0,0,0,0,0,11
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2021,0,0,0,0,0,0,1,0,1,2,3,1,0,8
Institute of Museum and Library Services,Agency Overall,2021,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Federal Retirement Thrift Investment Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equal Employment Opportunity Commission,Agency Overall,2021,548,692,225,216,184,104,55,37,11,8,2,0,1,2083
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millennium Challenge Corporation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Madison Memorial Fellowship Foundation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2021,4,1,0,0,0,0,0,0,0,0,0,0,0,5
Department of Justice,Agency Overall,2021,3587,1733,831,609,502,431,357,384,322,303,1119,726,3662,14566
Office of the Director of National Intelligence,Agency Overall,2021,38,24,17,10,7,9,9,3,4,3,29,22,148,323
Selective Service System,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Open Market Committee,Agency Overall,2021,0,1,3,1,1,0,0,2,0,0,0,0,0,8
General Services Administration,Agency Overall,2021,24,244,89,38,19,32,11,6,8,8,15,12,51,557
National Endowment for the Arts,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Labor Relations Authority,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Department of State,Agency Overall,2021,2541,1176,865,1140,649,122,88,69,94,63,199,124,430,7560
National Aeronautics and Space Administration,Agency Overall,2021,102,71,39,22,13,4,4,0,2,1,3,3,2,266
Denali Commission,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Election Assistance Commission,Agency Overall,2021,1,0,0,0,0,0,0,0,0,0,2,5,1,9
U.S. Railroad Retirement Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Security Administration,Agency Overall,2021,66,84,72,34,25,9,6,8,6,5,8,5,2,330
Central Intelligence Agency,Agency Overall,2021,19,189,99,155,122,117,103,93,55,63,170,78,304,1567
United States Postal Service,Agency Overall,2021,31,28,15,2,9,8,8,6,5,1,11,0,4,128
National Labor Relations Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Privacy and Civil Liberties Oversight Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. International Development Finance Corporation,Agency Overall,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Farm Credit Administration,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Veterans Affairs,Agency Overall,2021,1040,478,243,662,1239,1089,497,387,69,54,320,252,468,6798
Farm Credit System Insurance Corporation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States International Trade Commission,Agency Overall,2021,0,2,0,0,1,0,0,0,0,0,0,0,0,3
National Capital Planning Commission,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Government Ethics,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Railroad Passenger Corporation,Agency Overall,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Appraisal Subcommittee,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Energy,Agency Overall,2021,111,68,52,49,33,29,26,22,19,23,47,34,84,597
Occupational Safety and Health Review Commission,Agency Overall,2021,0,2,1,1,0,0,0,0,0,0,0,0,1,5
Inter-American Foundation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Court Services and Offender Supervision Agency,Agency Overall,2021,66,0,0,0,0,0,0,0,0,0,0,0,0,66
Federal Housing Finance Agency,Agency Overall,2021,3,1,4,1,1,2,6,1,3,3,3,0,16,44
Office of Personnel Management,Agency Overall,2021,263,79,47,35,29,9,11,17,10,10,39,36,159,744
Postal Regulatory Commission,Agency Overall,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Department of Transportation,Agency Overall,2021,394,185,108,65,56,51,42,51,46,41,137,108,295,1579
Presidio Trust,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Protection Agency,Agency Overall,2021,318,273,133,91,70,61,37,24,29,16,95,53,226,1426
National Mediation Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Battle Monuments Commission,Agency Overall,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,9
National Transportation Safety Board,Agency Overall,2021,47,52,38,18,15,14,8,20,8,4,55,75,29,383
Federal Deposit Insurance Corporation,Agency Overall,2021,44,29,8,5,0,1,3,0,1,0,1,0,1,93
Federal Communications Commission,Agency Overall,2021,5,14,18,16,8,2,1,0,1,2,8,0,4,79
Small Business Administration,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Commerce,Agency Overall,2021,158,89,33,16,15,15,8,11,10,5,16,15,104,495
Office of National Drug Control Policy,Agency Overall,2021,1,2,2,2,0,1,1,0,0,0,1,2,9,21
Consumer Financial Protection Bureau,Agency Overall,2021,47,31,8,10,5,8,4,3,5,0,15,9,78,223
Peace Corps,Agency Overall,2021,0,0,1,1,0,0,0,1,0,0,0,1,1,5
Office of Navajo and Hopi Indian Relocation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Science Foundation,Agency Overall,2021,35,35,13,12,7,7,8,8,4,4,7,5,18,163
Department of Agriculture,Agency Overall,2021,557,285,108,83,59,61,52,39,24,34,129,96,303,1830
Department of Labor,Agency Overall,2021,3637,819,408,294,265,188,162,99,86,91,211,127,141,6528
Commodity Futures Trading Commission,Agency Overall,2021,6,4,1,4,0,3,3,0,1,0,1,2,0,25
United States Institute of Peace,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of the Treasury,Agency Overall,2021,3561,763,392,336,206,191,146,129,99,77,189,68,283,6440
Chemical Safety and Hazard Investigation Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear Regulatory Commission,Agency Overall,2021,29,6,4,6,1,2,2,3,4,2,10,2,9,80
Federal Maritime Commission,Agency Overall,2021,12,5,0,1,0,0,0,0,0,0,0,0,0,18
Neighborhood Reinvestment Corporation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merit Systems Protection Board,Agency Overall,2021,11,7,1,1,2,1,0,0,0,1,1,0,20,45
National Archives and Records Administration,Agency Overall,2021,74,10,15,5,4,4,1,3,0,4,20,4,93,237
Securities and Exchange Commission,Agency Overall,2021,3,0,0,0,0,0,0,0,0,0,0,0,14,17
Federal Reserve System,Agency Overall,2021,135,95,44,25,15,5,10,10,2,2,5,5,4,357
Federal Election Commission,Agency Overall,2021,38,9,4,2,0,0,0,0,0,0,2,0,7,62
Office of Management and Budget,Agency Overall,2021,0,0,0,0,0,0,0,0,1,0,1,15,79,96
United States Trade and Development Agency,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Access Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Trade Commission,Agency Overall,2021,259,52,22,6,7,7,3,1,4,1,0,0,0,362
National Indian Gaming Commission,Agency Overall,2021,0,1,0,0,0,1,0,0,0,0,0,0,1,3
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Defense,Agency Overall,2021,8445,4600,2101,1218,836,473,334,280,239,225,645,446,2020,21862
Tennessee Valley Authority,Agency Overall,2021,3,11,14,10,3,6,2,2,1,4,3,0,0,59
Export-Import Bank of the U.S.,Agency Overall,2021,6,5,2,5,1,1,3,0,0,0,0,2,5,30
Department of Homeland Security,Agency Overall,2021,59300,104833,29187,32952,17335,8646,6168,4389,3163,3753,12693,4978,1877,289274
Defense Nuclear Facilities Safety Board,Agency Overall,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Veterans Affairs,Agency Overall,2022,1667,535,203,706,827,254,27,17,15,22,26,21,97,4417
Central Intelligence Agency,Agency Overall,2022,11,87,58,73,89,40,71,65,97,54,75,44,390,1154
Commission of Fine Arts,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Science Foundation,Agency Overall,2022,28,27,21,16,2,11,7,3,3,2,7,3,13,143
Department of Justice,Agency Overall,2022,4722,2191,973,657,489,387,334,303,268,211,905,741,4179,16360
Federal Maritime Commission,Agency Overall,2022,0,1,2,0,0,0,1,2,0,0,6,0,0,12
Advisory Council on Historic Preservation,Agency Overall,2022,0,0,0,10,0,0,0,0,0,0,0,0,0,10
General Services Administration,Agency Overall,2022,0,263,91,46,38,35,19,13,11,9,44,18,191,778
Occupational Safety and Health Review Commission,Agency Overall,2022,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Federal Retirement Thrift Investment Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Science and Technology Policy,Agency Overall,2022,5,2,1,0,1,0,0,0,0,1,2,0,9,21
United States Trade and Development Agency,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Aeronautics and Space Administration,Agency Overall,2022,139,82,49,20,12,16,2,6,1,3,7,1,0,338
Court Services and Offender Supervision Agency,Agency Overall,2022,140,0,0,0,0,0,0,0,0,0,0,0,0,140
Federal Mediation and Conciliation Service,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marine Mammal Commission,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appraisal Subcommittee,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Management and Budget,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,73,73
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical Safety and Hazard Investigation Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Housing Finance Agency,Agency Overall,2022,1,1,1,0,0,0,2,0,1,1,3,3,0,13
United States Postal Service,Agency Overall,2022,14,17,8,3,3,4,1,2,0,1,6,2,6,67
Department of the Interior,Agency Overall,2022,280,156,101,89,71,42,54,43,29,25,122,70,497,1579
Tennessee Valley Authority,Agency Overall,2022,4,29,11,13,12,5,3,2,2,2,4,0,0,87
Harry S. Truman Scholarship Foundation,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millennium Challenge Corporation,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Privacy and Civil Liberties Oversight Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presidio Trust,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Export-Import Bank of the U.S.,Agency Overall,2022,4,7,6,2,1,3,3,1,0,0,1,0,6,34
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Department of State,Agency Overall,2022,2153,2622,1242,434,41,45,30,31,30,20,85,60,190,6983
Farm Credit Administration,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Commission on Civil Rights,Agency Overall,2022,5,0,4,0,0,0,0,0,0,0,0,0,0,9
Social Security Administration,Agency Overall,2022,63,61,60,37,24,19,17,14,13,8,16,5,8,345
National Indian Gaming Commission,Agency Overall,2022,0,2,2,1,0,1,0,0,0,0,0,0,0,6
United States African Development Foundation,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Credit Union Administration,Agency Overall,2022,15,81,1,0,0,0,0,0,0,0,0,0,0,97
AmeriCorps,Agency Overall,2022,3,2,1,0,2,0,0,0,0,1,1,3,0,13
U.S. Election Assistance Commission,Agency Overall,2022,2,1,0,0,0,0,0,0,0,0,1,0,4,8
Federal Deposit Insurance Corporation,Agency Overall,2022,33,28,5,6,3,1,1,0,0,1,5,5,8,96
Office of National Drug Control Policy,Agency Overall,2022,0,8,1,1,0,0,0,1,0,0,6,4,3,24
Office of Navajo and Hopi Indian Relocation,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Council on Environmental Quality,Agency Overall,2022,1,3,1,0,0,2,0,0,1,0,0,2,8,18
Merit Systems Protection Board,Agency Overall,2022,12,2,0,0,1,2,0,0,0,0,1,0,8,26
Office of Special Counsel,Agency Overall,2022,15,18,12,4,4,1,1,0,1,1,2,0,0,59
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2022,1,10,1,0,0,0,0,0,0,0,0,0,0,12
Peace Corps,Agency Overall,2022,2,2,2,5,1,0,0,1,0,1,0,0,5,19
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2022,19,5,4,1,0,0,0,0,0,0,3,3,20,55
Gulf Coast Ecosystem Restoration Council,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Trade Commission,Agency Overall,2022,276,89,21,6,7,3,4,2,3,0,3,0,0,414
Department of Labor,Agency Overall,2022,4863,862,381,246,172,118,74,61,40,30,144,96,165,7252
Federal Communications Commission,Agency Overall,2022,0,9,12,10,5,4,1,1,3,0,0,0,2,47
James Madison Memorial Fellowship Foundation,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear Regulatory Commission,Agency Overall,2022,14,8,6,2,9,2,2,0,1,0,5,2,10,61
U.S. Interagency Council on Homelessness,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States International Trade Commission,Agency Overall,2022,0,21,1,0,0,0,0,0,0,0,0,0,0,22
Institute of Museum and Library Services,Agency Overall,2022,0,1,0,0,0,0,0,0,0,0,0,0,1,2
National Labor Relations Board,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denali Commission,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Reserve System,Agency Overall,2022,68,63,31,24,14,12,4,2,4,2,5,1,4,234
Inter-American Foundation,Agency Overall,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Neighborhood Reinvestment Corporation,Agency Overall,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Transportation Safety Board,Agency Overall,2022,11,11,10,4,2,2,1,4,4,1,39,29,17,135
Federal Financial Institutions Examination Council,Agency Overall,2022,0,1,0,1,0,0,0,0,0,0,0,0,0,2
